id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HK6SJ09CJ145V3Y8RSG5K54B,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-02T23:33:25.804557-05:00,true,2024-01-02T23:33:25.8214-05:00,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""challengeProbability"":0.7,""playerCount"":1,""warrantCost"":1000,""warrantValue"":2000}},""count"":1}]}}",2024-01-02T23:33:25.804557-05:00,terminated,2024-01-03T10:38:02.637996-05:00,,
01HK7ZKQYJGC17VTRXGWYWMNE5,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-03T10:38:28.690648-05:00,true,2024-01-03T10:38:28.702311-05:00,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Multi Player"",""desc"":""Three-player Game"",""factors"":{""challengeProbability"":0.7,""playerCount"":3,""warrantCost"":1000,""warrantValue"":2000}},""count"":1}]}}",2024-01-03T10:38:28.690648-05:00,ended,2024-01-03T10:44:49.823117-05:00,all games finished,2024-01-03T10:44:49.823117-05:00
