id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01HK6SJ6AP14CW3B9MW51ZS26R,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:31.99075-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:31.99075-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:31.99075-05:00
01HK7ZMGJVPWW1P43J73NWE8TV,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:53.916045-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:53.916045-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:38:53.916045-05:00
01HK7ZMGJZJJXE7QV1B1STNF8N,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:53.919568-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:53.919568-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:38:53.919568-05:00
01HK7ZMGK7HSN4Z196MVBSAKBW,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:53.927876-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:53.927876-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:38:53.927876-05:00
