id,ended,endedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,start,startLastChangedAt,roundIndex,roundIndexLastChangedAt,groupID,groupIDLastChangedAt,stageID,stageIDLastChangedAt,endedReason,endedReasonLastChangedAt,treatmentName,treatmentNameLastChangedAt,batchID,batchIDLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt
01HK6SJ09X7DTV1WSKWY8YNA3D,true,2024-01-03T10:38:02.669655-05:00,01HK6SJ6AP14CW3B9MWGJKZQHH,2024-01-02T23:33:32.017921-05:00,true,2024-01-02T23:33:31.983312-05:00,15,2024-01-02T23:33:32.017921-05:00,01HK6SJ0A55RMBSEX05WGMCAF6,2024-01-02T23:33:25.833574-05:00,,2024-01-03T10:38:02.669655-05:00,batch ended,2024-01-03T10:38:02.645203-05:00,Solo,2024-01-02T23:33:25.821115-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:25.821115-05:00,terminated,2024-01-03T10:38:02.645203-05:00,"{""challengeProbability"":0.7,""playerCount"":1,""warrantCost"":1000,""warrantValue"":2000}",2024-01-02T23:33:25.821115-05:00
01HK7ZKQYYS0K1PDRK33NC2ED1,true,2024-01-03T10:44:49.80981-05:00,01HK7ZMEQPYRBZSNGX9YMAPQBC,2024-01-03T10:38:52.028711-05:00,true,2024-01-03T10:38:53.908835-05:00,15,2024-01-03T10:38:53.963727-05:00,01HK7ZKQZ89WVF9G0Y0NJAX7AC,2024-01-03T10:38:28.72026-05:00,,2024-01-03T10:44:49.80981-05:00,end of game,2024-01-03T10:44:49.818824-05:00,Multi Player,2024-01-03T10:38:28.702097-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:28.702097-05:00,ended,2024-01-03T10:44:49.818824-05:00,"{""challengeProbability"":0.7,""playerCount"":3,""warrantCost"":1000,""warrantValue"":2000}",2024-01-03T10:38:28.702097-05:00
